Sleep,Mood,Steps
8.436,4,8218.815
7.32,7,8011.876
2.066,2,4981.0
6.354,6,5351.826
8.669,6,9067.296
2.693,2,19740.0
2.835,10,1870.0
7.105,2,0.0
8.116,7,8846.425
6.562,7,7660.664
7.641,6,7078.335
9.94,8,5811.27
8.94,4,11329.604
7.36,8,4734.244
8.668,6,6891.889
7.558,5,9346.264
8.536,7,19384.0
8.251,8,9641.934
8.047,6,10425.216
7.914,4,7877.623
8.476,6,6297.259
2.366,3,6721.0
8.014,4,5308.833
7.694,4,11459.771
9.114,7,7185.237
6.532,6,7915.263
8.659,8,6812.194
6.312,4,8919.561
8.438,8,10276.831
8.767,7,11246.526
3.363,1,18131.0
8.875,7,5147.755
0.978,5,1858.0
7.484,6,19808.0
4.909,8,6214.341
8.966,8,9704.358
6.918,8,8021.758
6.901,7,12328.015
8.506,8,9241.495
5.884,6,6512.228
5.137,7,7745.074
6.982,6,6185.984
7.18,5,5699.656
5.916,4,8947.868
5.907,4,10676.051
8.941,8,7427.663
6.929,4,10601.054
8.175,7,8137.274
9.028,7,6060.993
6.967,7,6234.069
7.528,6,11808.867
0.0,1,0.0
5.741,4,8509.994
7.734,4,6648.372
7.451,7,11139.733
0.0,2,1425.0
6.946,6,8373.524
7.592,7,11446.931
7.487,5,8297.82
9.184,5,8887.047
2.05,1,12307.0
7.686,9,17079.0
6.66,8,6961.685
5.664,7,8710.864
9.577,6,10032.187
6.971,8,10163.443
7.617,5,8505.18
10.0,6,6269.857
8.691,4,12371.423
8.353,5,7403.187
14.071,10,8086.0
7.465,5,8970.003
7.794,4,9945.235
8.226,7,7122.508
6.964,6,9862.539
6.524,4,5263.462
13.158,10,22322.0
7.703,5,11493.478
7.275,5,8196.997
7.428,7,6072.833
7.208,8,6627.326
5.633,6,5708.199
6.547,8,5566.682
9.176,4,5662.518
6.375,8,5764.442
7.779,4,12828.435
7.981,6,8288.687
7.748,4,8867.498
7.743,7,9243.044
7.248,6,8868.592
8.001,7,9918.881
8.736,8,12560.999
7.494,5,4565.876
6.56,4,6337.458
8.565,8,4671.047
7.781,10,23320.0
7.016,5,10505.231
6.435,4,4853.1
6.8,7,7728.145
6.78,4,7532.17
2.075,9,430.0
6.036,4,6348.032
7.857,4,5864.73
8.016,7,5477.576
8.33,5,9313.894
7.582,6,8044.205
10.349,10,329.0
7.229,7,6818.651
11.201,3,3321.0
9.129,7,7591.409
1.879,3,6113.0
9.331,5,6841.909
0.0,1,0.0
6.848,8,6168.151
6.898,4,5943.807
9.657,4,8340.404
8.008,6,7838.589
7.151,8,8434.833
6.261,10,7238.0
7.236,5,0.0
2.035,1,19332.0
6.511,5,8239.197
7.029,4,6415.403
7.012,4,8679.448
8.208,5,7494.097
7.446,8,7268.401
2.329,9,1768.0
8.358,5,7999.762
8.469,6,8855.235
7.996,4,9680.638
7.191,6,8386.706
7.724,6,3285.332
7.461,4,7610.647
7.44,8,6468.28
7.832,5,8395.299
6.493,5,6248.553
6.342,8,8393.127
6.492,7,6343.205
6.877,7,6420.231
8.899,8,8628.959
9.711,4,5784.117
8.132,8,8168.648
7.588,8,8766.164
6.671,4,8222.554
7.799,8,12556.486
8.498,6,6119.079
2.057,5,2788.0
7.521,8,8574.267
0.0,5,3767.0
8.004,8,6372.939
6.578,7,6183.588
8.327,8,7851.263
8.414,7,8301.744
8.673,6,8754.184
7.571,1,11782.0
6.098,8,10509.624
6.954,4,11065.867
8.679,6,3487.5
7.043,6,7910.509
8.686,6,11717.955
7.697,7,8901.311
6.8,8,6820.181
14.319,9,6404.0
8.334,6,7760.117
6.603,6,6809.793
7.673,7,7978.124
2.558,2,17389.0
7.15,1,6261.0
6.488,6,10673.841
6.682,7,8049.715
6.573,5,7032.026
9.132,6,6383.563
7.147,7,5045.97
0.754,4,4161.0
8.644,5,5283.577
6.851,4,4516.593
7.992,4,5074.467
10.826,6,7854.0
0.702,5,3747.0
9.077,4,8243.629
7.971,6,5608.752
6.097,5,4276.1
7.661,5,6866.978
7.544,6,3933.999
8.557,1,13641.0
6.03,9,24226.0
7.827,7,2745.869
2.921,10,979.0
6.536,5,0.0
8.141,7,8718.605
7.88,6,8957.637
7.286,8,8440.704
8.112,6,7342.801
8.441,5,2758.658
10.918,10,763.0
6.783,4,11734.448
0.0,1,0.0
8.817,6,5493.085
7.473,7,10093.35
6.13,8,11868.777
7.099,4,8170.568
7.772,5,10911.162
8.051,7,9035.04
7.112,5,7115.154
0.758,2,7614.0
0.0,1,0.0
9.771,4,6751.803
7.937,6,9628.85
11.173,10,521.0
12.539,10,22191.0
0.747,3,3072.0
6.169,7,11020.221
10.037,10,650.0
6.941,7,7519.344
8.018,6,9993.049
7.175,4,5821.3
7.824,5,7244.891
9.271,8,7030.419
6.969,4,6263.872
6.18,5,11993.7
8.084,7,6437.407
7.48,4,7738.526
8.717,8,5287.927
6.993,4,10283.706
7.385,7,7823.911
7.682,6,4757.212
9.133,7,9126.271
1.444,1,6649.0
8.341,7,7520.815
6.911,4,9256.764
7.048,5,8363.027
7.219,4,7803.214
7.882,8,5871.557
7.241,8,10629.629
8.807,6,7051.309
13.457,10,23227.0
8.148,6,5791.177
7.838,4,5672.285
7.736,5,5639.433
8.066,7,5220.802
6.936,8,10029.291
8.996,1,11668.0
6.252,4,5367.46
8.372,4,8690.151
11.11,4,9420.0
8.173,5,8460.202
7.444,4,7119.406
6.064,8,3770.267
1.072,1,2124.0
0.975,4,7085.0
6.3,6,9856.09
8.133,6,6515.504
7.65,8,8500.591
6.945,4,7713.769
2.486,9,1023.0
7.959,7,9480.814
6.255,6,12241.136
6.752,4,9021.726
7.51,8,9066.97
7.053,8,8056.158
7.678,7,5181.786
7.491,1,7196.0
6.239,6,9172.666
8.778,8,6441.409
0.0,2,2925.0
7.928,8,8020.036
8.778,8,5233.075
7.282,7,10330.064
7.017,8,9398.461
8.0,10,10000.0
8.869,6,9352.884
8.577,1,10616.0
9.051,4,6390.551
8.0,10,10000.0
5.79,7,7331.727
8.61,8,7732.804
6.782,7,11464.099
7.767,8,10114.033
9.048,5,7731.689
5.872,4,6421.306
7.503,7,5759.633
8.0,10,10000.0
6.429,8,6739.563
6.61,8,6646.658
8.26,4,6558.748
7.692,8,10573.252
7.412,6,7680.168
7.427,7,9310.081
7.724,8,9653.283
7.846,8,10522.636
6.309,5,5734.662
6.929,5,5583.642
8.663,5,7581.958
9.946,6,10506.178
0.0,1,0.0
8.044,5,7800.06
7.135,6,6794.07
7.998,8,7961.063
8.186,8,9033.035
7.834,5,6776.156
7.533,3,0.0
7.054,6,9505.365
8.688,7,10640.368
8.644,10,17069.0
6.717,8,11015.267
7.599,6,7024.013
7.697,8,6691.196
8.475,4,7936.975
6.165,6,7182.728
7.625,5,6468.38
6.649,8,10530.891
14.719,5,4285.0
9.381,4,9574.062
7.977,4,4838.498
7.711,6,8803.838
6.938,4,7523.324
6.657,4,9956.144
8.088,5,11902.284
5.807,4,5683.428
2.48,9,614.0
0.0,1,0.0
7.518,4,10736.197
10.0,7,6386.507
6.248,5,7751.145
8.662,7,6982.875
7.279,7,5860.209
8.687,5,6848.11
6.357,6,3259.495
3.661,1,13231.0
7.306,8,8931.547
9.031,5,8524.429
6.504,2,0.0
8.038,5,9777.546
7.895,6,7250.935
2.277,10,1268.0
7.68,5,5251.257
6.396,6,6729.154
7.022,8,12883.009
8.434,7,6640.534
8.242,7,9538.491
8.147,6,8180.365
8.26,6,8715.446
7.327,8,8009.202
7.108,5,11334.765
7.041,7,4595.743
8.609,4,11347.803
7.767,4,8470.777
7.199,5,7396.732
8.397,10,23869.0
6.518,6,7366.47
8.178,7,9721.449
7.112,6,7731.71
7.079,7,6641.231
8.486,5,7783.19
6.358,6,5707.199
5.944,8,4856.844
7.675,8,10036.314
6.397,5,10146.499
7.31,4,7579.666
14.604,3,3568.0
7.596,4,7575.142
10.0,7,9717.377
0.91,2,3990.0
6.847,5,7706.883
6.827,4,7694.378
0.0,1,0.0
7.568,6,5626.238
0.0,1,0.0
7.436,8,5653.461
6.362,4,0.0
6.955,4,9691.052
7.464,5,7946.336
8.426,4,6923.528
8.082,7,7838.104
6.143,5,7778.929
13.832,5,1209.0
6.544,4,9147.374
6.096,5,0.0
6.908,5,7604.462
8.45,7,5457.178
6.678,10,9000.0
8.0,10,10000.0
8.991,6,6684.425
7.236,5,22435.0
7.291,8,11208.183
8.818,4,6660.393
8.008,6,10732.478
3.198,10,687.0
7.471,3,0.0
8.599,8,5508.812
8.222,7,8621.716
8.123,4,6628.004
7.708,4,10329.167
7.309,6,6997.508
7.975,6,5507.472
5.347,6,6906.384
7.783,5,10444.131
7.298,6,11469.664
7.564,7,8963.567
7.526,4,9586.571
7.722,6,8496.548
0.0,1,0.0
6.579,4,8049.527
6.502,7,9737.02
3.076,9,252.0
6.578,4,7177.058
7.524,8,10728.164
8.097,5,8159.009
8.022,5,6569.956
7.956,6,8806.874
7.51,6,9879.159
7.922,7,7276.735
7.007,7,6404.373
6.419,8,6870.036
7.582,8,6681.986
5.943,5,7742.202
12.68,10,21903.0
8.909,4,7397.274
7.437,7,7358.881
5.289,4,4534.912
7.067,5,8564.005
6.747,4,5311.794
8.549,5,8058.205
8.233,7,9853.734
6.473,4,6694.383
9.202,7,6730.536
7.422,5,8155.52
7.546,7,7471.924
12.677,4,4803.0
7.613,8,7430.483
6.888,7,8047.79
7.881,6,8087.171
7.925,7,9316.785
9.397,8,7836.954
7.696,6,6813.856
7.485,5,10789.251
7.348,5,11244.386
7.256,5,7272.594
8.604,8,19740.0
8.089,8,9841.196
6.769,4,7338.044
7.556,8,6549.807
7.056,7,7996.527
6.696,8,4583.761
7.683,8,10573.006
6.82,8,7344.353
6.094,5,8269.415
7.777,7,22642.0
7.475,8,4224.936
7.954,6,10942.787
6.33,5,10933.747
0.0,1,1425.0
7.671,6,7707.88
7.9,8,6916.982
8.198,8,9260.298
8.978,6,6390.481
6.894,6,9910.648
6.899,6,8512.444
7.936,4,8759.101
6.95,6,7787.761
8.996,7,2978.33
6.188,7,6199.892
6.119,9,23099.0
0.0,1,0.0
9.588,4,10740.087
7.348,6,5738.199
6.639,7,8264.546
8.64,5,10296.892
6.9,5,7356.588
7.685,5,10095.702
3.979,10,1629.0
7.823,6,10090.502
8.237,8,5712.881
5.475,5,7439.462
7.387,3,0.0
7.344,4,10155.803
5.831,7,4724.79
8.45,5,7235.546
8.015,5,11396.186
7.738,4,8247.323
6.969,6,5831.258
7.808,8,8677.783
6.697,8,8760.614
6.116,2,0.0
8.011,7,7815.389
7.893,7,4246.563
7.831,7,7863.445
9.03,5,8188.249
2.27,1,21280.0
6.971,4,8830.353
7.979,8,7203.716
7.442,4,0.0
7.902,5,6715.611
0.0,4,1497.0
7.013,8,7322.617
8.171,8,8764.261
8.607,5,6179.119
6.936,7,8796.056
7.784,4,0.0
6.661,6,16614.0
7.691,6,6927.656
5.797,5,9874.655
6.541,8,7077.256
4.579,5,7770.566
2.465,10,1551.0
7.464,5,8509.2
8.523,8,6647.518
6.753,5,7447.02
6.22,7,10406.096
7.476,7,8153.966
6.774,7,6540.671
8.763,5,8670.043
9.791,6,7013.71
6.592,4,8353.973
7.857,5,6586.879
7.059,4,0.0
7.405,5,11090.514
0.0,1,0.0
7.75,5,3503.714
8.122,7,9793.177
8.128,5,4822.363
9.079,4,6327.786
7.401,5,7561.936
3.89,9,1598.0
7.025,4,8356.348
9.663,4,7573.056
6.969,6,8263.289
6.643,5,9560.141
8.463,6,8166.962
8.455,8,9797.297
7.492,8,10800.8
6.272,8,6989.966
7.065,8,2755.562
6.837,4,10524.98
8.0,10,10000.0
8.496,8,11436.814
8.292,8,6316.576
5.433,8,6487.353
8.338,4,8064.66
12.301,5,8314.0
6.496,4,6217.566
11.287,6,8095.0
7.032,6,10355.089
8.415,8,7567.096
5.854,5,13979.0
7.252,5,8042.12
7.223,7,8739.547
8.531,4,10307.127
12.602,10,24824.0
8.996,9,21755.0
7.892,8,8065.416
9.963,5,10858.916
8.377,4,6900.791
7.219,5,9083.291
9.211,5,5505.415
6.965,6,7832.145
6.644,8,9656.132
7.34,4,6891.853
7.775,5,0.0
7.989,7,7654.526
5.548,6,8154.29
8.558,5,9991.744
8.113,6,8248.313
8.592,8,5078.15
9.352,7,7805.764
6.152,8,5310.702
7.852,6,10187.395
6.622,4,8586.55
7.185,4,9046.79
10.0,5,7887.731
8.658,5,8198.277
7.79,6,7499.624
8.53,8,6542.695
6.948,8,7016.524
7.744,8,4734.795
6.18,8,5696.263
8.093,7,4582.692
5.669,4,9176.491
6.824,7,6231.683
7.151,6,16877.0
6.786,8,7048.023
6.015,5,6639.008
8.492,4,9243.892
12.457,10,21612.0
7.497,5,9040.759
5.898,5,5644.778
8.196,7,6261.495
3.268,2,18581.0
6.89,8,7805.738
3.145,1,14514.0
7.741,4,9553.292
6.062,6,7002.47
7.968,6,16665.0
7.744,8,11026.673
2.965,2,23634.0
6.052,5,6166.145
8.475,6,5007.971
12.089,10,21728.0
7.65,6,9617.849
8.384,7,7291.642
8.03,6,6827.279
8.366,4,8419.427
2.231,4,6085.0
6.479,5,9396.642
11.935,7,2872.0
8.325,8,4059.999
5.24,5,11759.0
7.46,6,8119.536
6.926,7,9520.237
14.937,4,2387.0
7.525,5,11941.729
5.462,7,8796.898
6.854,6,8556.598
7.054,7,6555.462
6.533,6,4279.104
8.261,6,20647.0
7.697,4,10059.765
7.426,8,7543.323
7.994,8,8058.503
8.148,7,7845.565
6.811,4,8386.641
8.802,5,4068.142
8.013,5,5530.309
8.573,6,8722.399
6.509,7,9464.469
7.141,5,5950.015
8.135,4,9760.57
6.497,8,10878.891
12.839,7,9296.0
6.975,7,4983.624
2.015,10,1230.0
6.256,8,10292.357
7.496,5,6857.251
6.308,1,8733.0
7.727,6,10693.339
1.646,3,5421.0
7.476,8,10401.518
6.887,8,7721.899
0.0,1,0.0
9.326,8,4465.979
8.892,5,10000.043
1.14,2,6073.0
7.403,4,6556.073
9.752,8,6750.247
7.82,8,8966.88
6.702,6,5047.866
7.037,8,7874.671
8.056,6,4383.287
8.971,4,10167.842
6.551,6,2555.445
6.51,7,4888.06
8.037,6,8891.129
6.997,4,7053.47
7.882,6,6218.221
9.592,7,7399.09
6.861,2,0.0
5.775,8,5581.931
1.064,1,7375.0
8.259,8,7348.825
2.206,1,2176.0
7.562,5,8173.94
7.649,6,6351.433
6.764,4,11976.668
6.887,7,9114.609
8.001,4,12207.346
6.521,8,8239.114
7.885,8,6685.03
7.781,4,6453.833
7.259,6,7334.686
2.126,10,724.0
7.481,5,9795.087
8.606,8,6171.437
6.896,7,4595.731
9.366,6,6319.058
7.568,7,10980.759
7.633,8,8762.489
7.811,5,6881.34
7.287,8,8290.161
7.754,5,11198.313
6.602,7,10447.421
6.021,4,13139.814
10.816,10,904.0
8.0,10,10000.0
8.0,10,10000.0
6.983,4,9840.023
3.674,10,1685.0
8.395,4,8821.064
7.557,4,5986.819
6.787,6,8763.933
12.537,4,1737.0
5.893,5,8146.869
0.0,4,1931.0
6.082,7,8400.903
9.255,4,7276.823
7.53,7,6789.214
7.629,5,8783.341
6.807,8,7440.863
6.901,4,7011.291
6.97,7,3629.406
8.047,4,8017.527
12.981,10,21866.0
7.569,5,2671.335
0.705,4,1213.0
5.625,6,1800.659
0.0,4,2018.0
2.13,10,1651.0
7.924,7,7078.45
7.671,6,8182.202
13.966,5,8844.0
7.631,8,8650.874
6.525,6,7504.572
7.687,8,7141.872
8.423,9,19291.0
7.668,8,6533.47
8.843,10,24587.0
6.733,5,8477.659
6.823,8,6761.855
5.739,4,10081.828
2.789,1,13309.0
7.701,5,9527.395
7.192,7,9325.452
6.773,4,7994.5
9.665,7,6456.578
8.124,7,10836.481
11.609,10,285.0
7.313,5,10690.762
7.742,8,9560.686
7.647,7,9602.162
6.684,4,10009.186
6.573,7,9835.935
11.057,10,661.0
7.463,5,11177.015
7.107,8,6844.499
7.944,6,4559.109
7.666,4,6295.597
8.314,5,10616.024
7.37,4,8553.446
2.933,9,888.0
7.969,4,5912.771
7.379,5,9991.562
7.894,4,8319.435
6.269,6,5642.367
7.56,8,10740.819
5.838,6,7353.124
7.028,8,7249.012
8.243,6,8423.201
10.219,10,345.0
1.566,4,2527.0
6.286,5,13531.959
7.929,8,11047.051
7.62,6,7207.209
7.462,5,9106.727
7.789,7,9865.487
6.254,4,6449.932
7.281,7,6957.198
5.974,4,8319.296
